,Fichero;Hash
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-answer-keys v2.pdf,3501e04c6ebc20134c9d1b82e8ea0f81ee14db6e5d8ff8d0432212abaf3e976e
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening v2.pdf,12f2676f3f480061755802139449cacd39bd97a540614df473eb0c67289b649f
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-1 v2.mp3,231a86d6c24e643a6a683a5609cc1d9bdc473bc12eb87c864da0e7bfe89342ca
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-2 v2.mp3,c740b63720e9b03f04d632047400c1023bd92ca0b4f1545ff39c4095e32f16a9
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-3 v2.mp3,3407e389cb3306c751c6d491249090a56568ec1f18931909c3188cf08d2c488f
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-4 v2.mp3,a445e2caabad436c843125619411f3ea3a302c7a074acc89a14c87a39d28d960
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-reading-and-use-of-english v2.pdf,08b766f910b0967d436f29cd4520d26201d95115c7eda4fe761ce5741be274bd
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-speaking v2.pdf,cbcd4755aa27190873c5129071447dc960a96b7134d14cfebf6d65a6fd8d8c36
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-writing v2.pdf,196e8e0237aaf5ca4360359ec55e317a8f6f9dfb06352612738d3ec2033fbcf5
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\fce-use-of-english-uebungen-tests-98.pdf,617813745b8fabf800babddffc56d89885772d6596a13e4b3041efea47a2773c
